"id";"full_name";"email";"phone_number";"orange_money";"role";"org_name";"is_active";"created_at";"referred_by_user_id";"commission_rate";"staff_function"
32;"User 32";"user32@example.com";"";"";"fan";"";"t";"2026-05-08 15:08:29.142674";"";"";""
31;"User 31";"user31@example.com";"";"";"agent";"Demo Organisation";"f";"2026-05-04 03:36:44.367371";"";"";""
16;"User 16";"user16@example.com";"";"";"fan";"";"t";"2026-04-28 12:31:41.491845";"";"";""
29;"User 29";"user29@example.com";"";"";"agent";"Demo Organisation";"t";"2026-05-04 03:21:20.160882";"";"";""
20;"User 20";"user20@example.com";"";"";"fan";"";"t";"2026-04-29 05:07:51.195517";"";"";""
21;"User 21";"user21@example.com";"";"";"organizer";"";"t";"2026-04-29 05:16:14.491245";"";"";""
23;"User 23";"user23@example.com";"";"";"organizer";"";"t";"2026-05-01 10:47:03.524276";"";"";""
26;"User 26";"user26@example.com";"";"";"organizer";"Eglise Renouveau Bangui";"t";"2026-05-03 03:53:10.895746";"";"";""
27;"User 27";"user27@example.com";"";"";"organizer";"Centre Conferences Bangui";"t";"2026-05-03 03:53:10.895746";"";"";""
28;"User 28";"user28@example.com";"";"";"organizer";"Football Club Bangui";"t";"2026-05-03 03:53:10.895746";"";"";""
35;"User 35";"user35@example.com";"";"";"agent";"Mon Organisation";"f";"2026-05-08 15:26:55.337411";"";"";""
30;"User 30";"user30@example.com";"";"";"fan";"";"t";"2026-05-04 03:23:03.761283";"";"";""
34;"User 34";"user34@example.com";"";"";"organizer";"";"t";"2026-05-08 15:12:39.031796";"";"";""
25;"User 25";"user25@example.com";"";"";"organizer";"Bangui Live Productions";"f";"2026-05-03 03:53:10.895746";"";"";""
40;"User 40";"user40@example.com";"";"";"organizer";"DZ Mafia";"t";"2026-06-25 12:59:50.794858";"";"";""
17;"User 17";"user17@example.com";"";"";"organizer";"Demo Organisation";"t";"2026-04-28 12:33:04.619868";"";"";""
36;"User 36";"user36@example.com";"";"";"organizer";"";"t";"2026-05-15 22:04:35.620318";"";"";""
24;"User 24";"user24@example.com";"";"";"fan";"";"t";"2026-05-01 14:54:20.920501";"";"";""
22;"User 22";"user22@example.com";"";"";"organizer";"";"t";"2026-05-01 10:32:31.227505";"";"";""
38;"User 38";"user38@example.com";"";"";"staff";"";"t";"2026-06-17 02:32:55.400492";"";"0.2";"cm"
44;"User 44";"user44@example.com";"";"";"fan";"";"t";"2026-06-30 11:00:55.401599";"";"";""
45;"User 45";"user45@example.com";"";"";"organizer";"Sango Culture";"t";"2026-07-01 08:09:21.555777";"";"";""
46;"User 46";"user46@example.com";"";"";"organizer";"Oubangui Events";"t";"2026-07-01 08:09:21.555777";"";"";""
47;"User 47";"user47@example.com";"";"";"organizer";"CBN";"t";"2026-07-01 08:09:21.555777";"";"";""
37;"User 37";"user37@example.com";"";"";"staff";"";"t";"2026-06-16 14:02:51.246939";"";"0.15";"commercial"
48;"User 48";"user48@example.com";"";"";"organizer";"AJ-RCA";"t";"2026-07-01 08:09:21.555777";"";"";""
15;"User 15";"user15@example.com";"";"";"admin";"";"t";"2026-04-18 19:12:34.057473";"";"";""
33;"User 33";"user33@example.com";"";"";"organizer";"Mon Organisation";"t";"2026-05-08 15:11:16.235333";"";"";""
43;"User 43";"user43@example.com";"";"";"fan";"";"t";"2026-06-30 10:05:57.456612";"";"";""
